id,name,entity_key,record_kind,source,finding_aid_url,organized,mustered_out,history_excerpt
cw-regiments:us-in-unk-121,121st Indiana Regiment,US-IN-UNK-121,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,,121st REGIMENT. — (See 9th REGIMENT CAVALRY.) N.
cw-regiments:us-in-inf-122,122nd Indiana Infantry,US-IN-INF-122,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,,122nd REGIMENT INFANTRY. — ( Failed to complete orgiiniration. )
cw-regiments:us-in-inf-123,123rd Indiana Infantry,US-IN-INF-123,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,Aug,"123rd REGIMENT INFANTRY.— Org. at Grconsburg. Terre Haute and Indianapolis, Dec. 25, 1863, to March 7, 1864. April, 1864, 2 Brig, 1 Dlv, 23 Corps, Ohio. June, 1864, 4 Brig, 2 Div, 23 Corps, Ohio. Aug, 1864, 3 Brig, 2 Div, 23 Corps, Ohio. Dec, 1864, 2 Brig, 1 Div, 23 Corps, Ohio. Feby, 1865. 2 Brig, 1 Div, 23 Corps, Dept. N. C. Mustered out Aug. 25, 1865."
cw-regiments:us-in-inf-124,124th Indiana Infantry,US-IN-INF-124,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,Aug,"124th REGIMENT INFANTRY.— Org. at Richmond, Terre Haute and Indianapolis, Nov, 1883, to March, 1864. April, 1864, 1 Brig, 1 Div, 23 Corps, Ohio. June, 1864, 4 Brig, 3 Div, 23 Corps, Ohio. Aug, 1864, 2 Brig, 3 Div, 23 Corps, Ohio. Dee, 1884, I Brig, 1 Div, 28 Corps, Ohio. Feby, 1865, 1 Brig, 1 Div, 23 Corps, Dept. N. C. Mustered out Aug. 31, 1865."
cw-regiments:us-in-unk-126,126th Indiana Regiment,US-IN-UNK-126,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,,126th REGIMENT. — ( See 11th REGIMENT CAVALRY.)
cw-regiments:us-in-unk-127,127th Indiana Regiment,US-IN-UNK-127,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,,127th REGIMENT.— (See 12th REGIMENT CAVALRY.)
cw-regiments:us-in-inf-128,128th Indiana Infantry,US-IN-INF-128,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,"April 10, 1866","128th REGIMENT INFANTRY.— Org. at Michigan City Dec. 15, 1863, to March 7. 1864. April, 1864, 1 Brig, 1 Div, 23 Corps, Ohio. June. 1884, 4 Brig, 3 Div, 23 Corps, Ohio. Aug, 1864, 3 Brig, 3 Div, 23 Corps, Ohio. Dee, 1884, 1 Brig, 1 Div, 23 Corps, Ohio. Fobv, 1885. 1 Brig, 1 Div, 23 Corps, Dept. N. C. Aug, 1866, Dept. N. ?;. Mustered out April 10, 1866."
cw-regiments:us-in-unk-130,130th Indiana In F,US-IN-UNK-130,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,Dec,"130th REGIMENT IN F.ANTR Y. — Org. at Kokomo, Dec, 1863, to March, 1864. April, 1864, 2 Brig, 1 Div, 23 Corps, Ohio. June, 1801, 4 Brig, 2 Div, 23 Corpa, Ohio. Aug, 1864, 1 Brig, 2 Div, 23 Corps, Ohio. Dee, 1864, 2 Brig, 1 Div, 23 Corps, Ohio. Febv, 1805, 2 Brig, 1 Div, 23 Corps, Dept. N. C. Aug, 1865, Dept. NT C. Mustered out Dec. 2. 1865."
cw-regiments:us-in-inf-131,131st Indiana Infantry,US-IN-INF-131,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,,131st REGIMENT INFANTRY.— See 13th Regiment Cavalry.
cw-regiments:us-in-inf-132,132nd Indiana Infantry,US-IN-INF-132,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,Sept,"132nd REGIMENT INFANTRY.— Org. at Indianapolis, May 18, 1864. May, 1864, R. R. Guard, Dept. Cumb'd. Mustered out Sept. 7, 1864."
cw-regiments:us-in-inf-133,133rd Indiana Infantry,US-IN-INF-133,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,Sept,"133rd REGIMENT INFANTRY.— Org. at Indianapolis, May 17. 1864. June, 1864, Post Bridgeport, Ala, R. R. Guard. Dept. Cumb'd. Mustered out Sept. 6, 1864."
cw-regiments:us-in-inf-134,134th Indiana Infantry,US-IN-INF-134,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,,"134th REGIMENT IN FANTRY. — Org. at Indianapolis, May 24, 1804. June, 1804, R. R. Guard, Dept. Cumb'd. Muttered out Sept. 2, 1864."
cw-regiments:us-in-inf-136,136th Indiana Infantry,US-IN-INF-136,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,Sept,"136th REGIMENT IN FANTRY. — Org. at Indiauapoli*. May 21, 1864. June, 1864, R. H. Guard, Dept. Cumb'd. Mustered out Sept. 2, 1864."
cw-regiments:us-in-inf-137,137th Indiana Infantry,US-IN-INF-137,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,Sept,"137th REGIMENT INFANTRY.— Org. at IndianapolU, May 20, 1864. June, 1884, R. R. Guard, Dept. Cumb'd. Mustered out Sept. 21, 1864."
cw-regiments:us-in-inf-138,138th Indiana Infantry,US-IN-INF-138,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,Kept,"138th REGIMENT INFANTRY. — Org. at Indianapolis, May 27, 1664. June, 1864. R. R. Guard. Dept. Cumb'd. Mustered out Kept. 22, 1864."
cw-regiments:us-in-inf-130,130th Indiana Infantry,US-IN-INF-130,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,Sept,"130th REGIMENT INFANTRY.— Org. at IndianapolU., June S, 1804. June, 18S4, R. R. Guard, Dept. Cumb'd. Mustered out Sept. 20, 1864."
cw-regiments:us-in-inf-140,140th Indiana Infantry,US-IN-INF-140,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,July 11,"140th REGIMENT INFANTRY. — Org. at Indianapolis, Oct. 24, 1804. Nov., 1864, 1 Brig., Del. Nash, ft Chatta. R. K„ Dept. Cumb'd. Jany., 1865, 3 Brig., 3 Div., 23 Corps Ohio. Feby., 1803, 3 Brig., 3 Div., 23 Corps, Dept. N. C. .Mustered out July 11. 1865. 14lBt REGIMENT INFANTRY.— (Failed to complete organization.)"
cw-regiments:us-in-inf-142,142nd Indiana Infantry,US-IN-INF-142,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,"July 14, 180S","142nd REGIMENT IN FANTRY. — Org. ut Indianapolis, Sept. 13 to Nov. 18, 1864. Nov., 1804, 2 Brig., 4 Div., 20 Corps, Dept. Cumb'd. March, 1865, Garrison Nash- ville, Tenn., Dept. Cumb'd. Mustered out July 14, 180S."
