id,name,given,surname,birth_year,event_year,notes,source,finding_aid_url
acadian-deportation:laroque-523,Paul,Paul,Boutin,c. 1743,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-524,Ufrosine,Ufrosine,Boutin,c. 1734,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-525,Marie,Marie,Boutin,c. 1746,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-526,Anne,Anne,Boutin,c. 1748,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-527,Le Jeune,Le,Jeune,c. 1726,1752,head — ploughman in the 1752 census; at Port Dauphin; native of the East coast,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-528,Margueritte Le Jeune,Margueritte Le,Jeune,c. 1730,1752,wife in the 1752 census; at Port Dauphin; native of la Cadie,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-529,Claude Le Jeune,Claude Le,Jeune,c. 1749,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-530,Genevieve,Genevieve,Jeune,c. 1747,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-531,Cadie,Cadie,Jeune,c. 1730,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-532,Jean Le Jeune,Jean Le,Jeune,c. 1700,1752,head — ploughman in the 1752 census; at Port Dauphin; native of la Cadie,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-533,Eustache,Eustache,Jeune,c. 1732,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-534,Gerome,Gerome,Jeune,c. 1735,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-535,Gregoire,Gregoire,Jeune,c. 1737,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-536,Jean Charles,Jean,Charles,c. 1749,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-537,Felicite,Felicite,Jeune,c. 1739,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-538,Eleine,Eleine,Jeune,c. 1743,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-539,Anne,Anne,Jeune,c. 1745,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-540,Olivier Trahan,Olivier,Trahan,c. 1717,1752,head — ploughman in the 1752 census; at Port Dauphin; native of la Cadie,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-541,Charles Trahan,Charles,Trahan,c. 1721,1752,head — ploughman in the 1752 census; at Port Dauphin; native of la Cadie,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-542,Margueritte Bond rot,Margueritte Bond,rot,c. 1718,1752,wife in the 1752 census; at Port Dauphin; native of the same place,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-543,Jean Trahan,Jean,Trahan,c. 1686,1752,head — ploughman in the 1752 census; at Port Dauphin; native of la Cadie,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-544,Marie Giroir,Marie,Giroir,c. 1692,1752,wife in the 1752 census; at Port Dauphin; native of the same place,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-545,Lucie,Lucie,Trahan,c. 1736,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-546,Margueritte,Margueritte,Trahan,c. 1743,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-547,Brest,Brest,Trahan,c. 1742,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-548,Francois Marteau,Francois,Marteau,c. 1712,1752,head — ploughman in the 1752 census; at Port Dauphin; native of Paris,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-549,Hoaore Trahan,Hoaore,Trahan,c. 1726,1752,head — ploughman in the 1752 census; at Port Dauphin; native of la Cadie,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-550,Marie Corperon,Marie,Corperon,c. 1719,1752,wife in the 1752 census; at Port Dauphin; native of the same place,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-551,Pierre,Pierre,Trahan,c. 1750,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-552,Marie,Marie,Trahan,c. 1747,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-553,La Chapelle,La,Chapelle,c. 1667,1752,head — fisherman in the 1752 census; at Port Dauphin; native of Plaisance,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-554,Charlotte Vincent,Charlotte,Vincent,c. 1684,1752,wife in the 1752 census; at Port Dauphin; native of the same place,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-555,Thomas,Thomas,Chapelle,c. 1734,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-556,Servant Commere,Servant,Commere,c. 1732,1752,head — fisherman in the 1752 census; at Port Dauphin; native of Scatary,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-557,Anne La Forest,Anne La,Forest,c. 1723,1752,wife in the 1752 census; at Port Dauphin; native of Louisbourg,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-558,Jean,Jean,Commere,c. 1743,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-559,Louis,Louis,Commere,c. 1748,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-560,Marie,Marie,Commere,c. 1749,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-561,Jeanne,Jeanne,Commere,c. 1741,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-562,Malo,Malo,Commere,c. 1724,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-563,Malo,Malo,Commere,c. 1722,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-564,Brest,Brest,Commere,c. 1729,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-565,Cadie,Cadie,Commere,c. 1731,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-566,Malo,Malo,Commere,c. 1730,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-567,Plaisance,Plaisance,Commere,c. 1735,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-568,Jean Benoist,Jean,Benoist,c. 1727,1752,head — ploughman in the 1752 census; at Port Dauphin; native of la Cadie,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-569,Charles Roy,Charles,Roy,c. 1718,1752,head — ploughman in the 1752 census; at Port Dauphin; native of Port Royal,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-570,Margueritte Le Jenne,Margueritte Le,Jenne,c. 1722,1752,wife in the 1752 census; at Port Dauphin; native of the same place,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-571,Etienne Trahan,Etienne,Trahan,c. 1688,1752,head — ploughman in the 1752 census; at Port Dauphin; native of la Cadie,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-572,Francoise Roy,Francoise,Roy,c. 1706,1752,wife in the 1752 census; at Port Dauphin; native of Port Royal,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-573,Charles,Charles,Trahan,c. 1734,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-574,Francois,Francois,Trahan,c. 1736,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-575,Port Royal,Port,Royal,c. 1735,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-576,Le Jeune,Le,Jeune,c. 1728,1752,head — ploughman in the 1752 census; at Port Dauphin; native of la Cadie,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-577,Margueritte Trahan,Margueritte,Trahan,c. 1728,1752,wife in the 1752 census; at Port Dauphin; native of same place,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-578,Jean,Jean,Jeune,c. 1749,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-579,Blaise,Blaise,Jeune,c. 1750,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-580,Cadie,Cadie,Jeune,c. 1702,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-581,Paul,Paul,Jeune,c. 1735,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-582,Pierre,Pierre,Jeune,c. 1736,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-583,Joseph,Joseph,Jeune,c. 1745,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-584,Josephe,Josephe,Jeune,c. 1732,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-585,Reine,Reine,Jeune,c. 1738,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-586,Anne,Anne,Jeune,c. 1742,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-587,Marie Roxe,Marie,Roxe,c. 1747,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-588,Eleine,Eleine,Jeune,c. 1748,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-589,Pierre Le Roy,Pierre Le,Roy,c. 1724,1752,head — ploughman in the 1752 census; at Port Dauphin; native of la Cadie,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-590,Marie Le Jeune,Marie Le,Jeune,c. 1728,1752,wife in the 1752 census; at Port Dauphin; native of the s ame place,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-591,Ibnriette,Ibnriette,Roy,c. 1749,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-592,Roze,Roze,Roy,c. 1750,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-593,Charles Le Hoy,Charles Le,Hoy,c. 1700,1752,head — ploughman in the 1752 census; at Port Dauphin; native of Paris,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-594,Marie Charlotte Chauvet,Marie Charlotte,Chauvet,c. 1700,1752,wife in the 1752 census; at Port Dauphin; native of la Cadie,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-595,Alexandre,Alexandre,Hoy,c. 1730,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-596,Charles,Charles,Hoy,c. 1736,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-597,Margueritte,Margueritte,Hoy,c. 1728,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-598,Anne,Anne,Hoy,c. 1736,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-599,Martine,Martine,Hoy,c. 1738,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-600,Ossite,Ossite,Hoy,c. 1745,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-601,Quebec,Quebec,Hoy,c. 1719,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-602,Cadie,Cadie,Hoy,c. 1726,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-603,Jeune,Jeune,Jeune,c. 1704,1752,head — ploughman in the 1752 census; at Port Dauphin; native of the colony,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-604,Joseph,Joseph,Jeune,c. 1733,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-605,Bazile,Bazile,Jeune,c. 1735,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-606,Olivier,Olivier,Jeune,c. 1745,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-607,Athanaze,Athanaze,Jeune,c. 1747,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-608,J acques,J,acques,c. 1750,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-609,Perpetue,Perpetue,Jeune,c. 1739,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-610,Paul Benjamin,Paul,Benjamin,c. 1725,1752,head — ploughman in the 1752 census; at Port Dauphin; native of la Cadie,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-611,Cecile le Jeune,Cecile le,Jeune,c. 1731,1752,wife in the 1752 census; at Port Dauphin; native of la Cadie,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-612,Alexis,Alexis,Benjamin,c. 1749,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-613,Marie Joseph,Marie,Joseph,c. 1746,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
acadian-deportation:laroque-614,Anne,Anne,Benjamin,c. 1747,1752,child in the 1752 census; at Port Dauphin,"Journal and census of the Sieur de la Roque, Île Royale and Île Saint-Jean, 1752 (English translation, Report Concerning Canadian Archives for 1905, vol. II — public domain)",https://archive.org/details/reportconcerning21publ
